cars_cities_PK,cars_cities_county_FK,cars_cities_name
1,39,Zillah
2,34,Yelm
3,17,Yarrow Point
4,39,Yakima
5,6,Yacolt
6,31,Woodway
7,8,Woodland
8,6,Woodland
9,31,Woodinville
10,17,Woodinville
11,24,Winthrop
12,21,Winlock
13,27,Wilkeson
14,20,White Salmon
15,14,Westport
16,3,West Richland
17,4,Wenatchee
18,32,Waverly
19,9,Waterville
20,30,Washougal
21,6,Washougal
22,13,Warden
23,39,Wapato
24,36,Walla Walla
25,36,Waitsburg
26,32,Veradale
27,27,Vaughn
28,17,Vashon
29,6,Vancouver
30,32,Valleyford
31,21,Vader
32,26,Usk
33,27,University Place
34,39,Union Gap
35,23,Union
36,30,Underwood
37,24,Twisp
38,34,Tumwater
39,31,Tulalip
40,17,Tukwila
41,20,Trout Lake
42,8,Toutle
43,39,Toppenish
44,24,Tonasket
45,21,Toledo
46,39,Tieton
47,34,Tenino
48,38,Tekoa
49,23,Tahuya
50,14,Taholah
51,27,Tacoma
52,25,Surfside
53,18,Suquamish
54,39,Sunnyside
55,27,Sumner
56,31,Sultan
57,30,Stevenson
58,27,Steilacoom
59,31,Stanwood
60,33,Springdale
61,22,Sprague
62,32,Spokane Valley
63,32,Spokane
64,32,Spangle
65,27,Spanaway
66,27,South Hill
67,25,South Bend
68,13,Soap Lake
69,19,Snoqualmie Pass
70,17,Snoqualmie Pass
71,17,Snoqualmie
72,31,Snohomish
73,17,Skykomish
74,35,Skamokawa
75,8,Silverlake
76,18,Silverdale
77,17,Shoreline
78,23,Shelton
79,28,Shaw Island
80,16,Sequim
81,5,Sequim
82,39,Selah
83,29,Sedro-Woolley
84,37,Sedro Woolley
85,29,Sedro Woolley
86,17,Seattle
87,17,Seatac
88,18,Seabeck
89,14,Satsop
90,17,Sammamish
91,8,Ryderwood
92,27,Ruston
93,13,Royal City
94,27,Roy
95,19,Roslyn
96,38,Rosalia
97,19,Ronald
98,32,Rockford
99,9,Rock Island
100,34,Rochester
101,21,Rochester
102,24,Riverside
103,1,Ritzville
104,6,Ridgefield
105,3,Richland
106,10,Republic
107,17,Renton
108,17,Redmond
109,25,Raymond
110,17,Ravensdale
111,34,Rainier
112,13,Quincy
113,16,Quilcene
114,27,Puyallup
115,38,Pullman
116,3,Prosser
117,17,Preston
118,18,Poulsbo
119,16,Port Townsend
120,18,Port Orchard
121,16,Port Ludlow
122,16,Port Hadlock
123,5,Port Angeles
124,12,Pomeroy
125,37,Point Roberts
126,4,Peshastin
127,24,Pateros
128,11,Pasco
129,27,Parkland
130,39,Parker
131,38,Palouse
132,21,Packwood
133,14,Pacific Beach
134,17,Pacific
135,39,Outlook
136,32,Otis Orchards
137,13,Othello
138,11,Othello
139,1,Othello
140,27,Orting
141,24,Oroville
142,9,Orondo
