cars_posta_PK,cars_posta_cities_FK
70,98520
299,99001
98,98001
189,98524
25,98601
263,98221
223,98303
36,98603
277,98223
3,99402
99,98001
99,98002
99,98092
362,78717
143,98110
100,98224
26,98604
101,98004
190,98528
102,98004
102,98005
102,98006
102,98007
102,98008
102,98027
264,98225
264,98226
264,98229
5,99320
163,98605
103,98010
103,98042
348,98230
225,98391
104,98011
104,98012
104,98021
104,98034
104,98036
104,98072
265,98232
144,98310
144,98311
144,98312
144,98337
144,98370
144,98380
200,98812
45,98812
279,98036
90,98320
27,98606
226,98321
331,98530
343,99323
105,98146
105,98148
105,98166
105,98168
266,98233
83,98282
28,98607
227,98323
106,98014
272,98610
11,98815
37,98611
340,98612
171,98531
300,99003
172,98532
12,98816
301,99004
321,99109
91,98325
173,98533
20,98326
4,99403
322,99110
156,98922
84,98236
107,98004
302,99005
344,99324
357,99113
323,99114
267,98237
54,99326
71,98537
60,99115
201,99116
85,98239
108,98042
363,98923
51,99118
174,98538
219,99119
349,98240
164,98617
280,98241
185,99122
35,99328
303,99006
350,98244
109,98032
109,98148
109,98198
228,98327
110,98019
East 19,98802
157,98925
258,98245
229,98328
230,98371
230,98372
281,98020
281,98026
231,98330
220,99009
158,98926
72,98541
55,99330
13,98822
111,98022
61,98823
325,99126
282,98201
282,98203
282,98204
282,98208
351,98247
112,98024
113,98001
113,98003
113,98023
352,98248
232,98424
233,98466
21,98331
234,98333
320,22405
86,98249
259,98250
145,98329
145,98332
145,98335
283,98251
165,98620
236,98338
62,99133
6,98930
365,98932
284,98252
192,98546
73,98547
305,99016
87,98253
146,98340
14,98816
193,98548
74,98550
326,99137
114,98004
166,98672
211,98624
285,98256
147,98342
147,98370
115,98006
115,98027
115,98029
115,98059
237,98433
38,98625
238,98344
39,98626
116,98028
7,99336
7,99337
7,99338
117,98030
117,98031
117,98032
117,98038
117,98042
117,98058
117,98092
52,99141
148,98345
149,98346
149,98370
118,98004
118,98011
118,98033
118,98034
118,98052
159,98934
29,98629
268,98257
333,98503
333,98513
333,98516
119,98155
286,98258
239,98391
240,98349
241,98498
241,98499
88,98260
15,98826
306,99019
194,98555
212,98631
242,98351
40,98632
328,99148
260,98261
167,98635
353,98264
287,98036
287,98037
287,98087
366,98935
16,98828
47,98830
17,98831
354,98266
120,98010
120,98027
120,98038
120,98051
168,98620
288,98270
288,98271
63,99349
202,98833
195,98557
75,98557
307,99021
308,99022
121,98039
122,98040
56,99343
309,99023
289,98012
123,98354
175,98355
290,98272
76,98563
176,98356
64,98837
177,98564
269,98273
269,98274
291,98043
367,98901
367,98936
292,98275
368,98937
213,98640
178,98565
214,98638
22,98357
124,98006
124,98056
124,98059
310,99025
221,99156
311,99026
92,98358
125,98148
125,98166
125,98198
126,98045
273,98639
89,98277
77,98568
215,98640
78,98569
186,99159
203,98840
150,98359
261,98279
196,98501
196,98502
196,98503
196,98506
196,98512
196,98513
196,98516
204,98841
179,98570
48,98843
205,98844
244,98360
1,99344
312,99027
369,98938
79,98571
127,98047
180,98361
358,99161
370,98939
245,98446
58,99301
206,98846
18,98847
355,98281
59,99347
23,98362
23,98363
93,98339
94,98365
151,98366
151,98367
95,98368
152,98370
152,98392
128,98027
8,99350
359,99163
246,98371
246,98372
246,98373
246,98374
246,98375
96,98376
66,98848
335,98576
129,98051
216,98577
130,98033
130,98052
130,98053
130,98072
131,98027
131,98038
131,98042
131,98055
131,98056
131,98057
131,98058
131,98059
53,99166
9,99352
9,99354
30,98642
2,99169
207,98849
181,98579
49,98850
313,99030
160,98940
360,99170
161,98941
247,98580
67,99357
248,98407
41,98581
188,62281
132,98029
132,98053
132,98074
132,98075
257,92131
80,98583
153,98380
133,98032
133,98148
133,98168
133,98188
133,98198
134,98101
134,98102
134,98103
134,98104
134,98105
134,98106
134,98107
134,98108
134,98109
134,98112
134,98115
134,98116
134,98117
134,98118
134,98119
134,98121
134,98122
134,98125
134,98126
134,98133
134,98134
134,98136
134,98144
134,98146
134,98155
134,98166
134,98168
134,98177
134,98178
134,98199
270,98284
271,98284
371,98942
24,98382
262,98286
197,98584
135,98020
135,98133
135,98155
135,98177
154,98311
154,98315
154,98383
42,98645
342,98647
136,98288
293,98290
293,98296
137 Pass,98045
137 Pass,98068
137,98024
137,98065
68,98851
217,98577
249,98373
249,98374
249,98375
250,98387
314,99031
315 Valley,99016
315 Valley,99027
315 Valley,99037
315 Valley,99206
315 Valley,99212
315 Valley,99216
315,99021
315,99036
315,99201
315,99202
315,99203
315,99204
315,99205
315,99206
315,99207
315,99208
315,99216
315,99217
315,99218
315,99223
315,99224
187,99032
330,99173
294,98292
251,98388
274,98648
295,98294
252,98390
372,98944
155,98392
218,98640
253,98402
253,98403
253,98404
253,98405
253,98406
253,98407
253,98408
253,98409
253,98417
253,98418
253,98422
253,98433
253,98443
253,98444
253,98445
253,98446
253,98465
253,98466
81,98587
198,98588
361,99033
337,98589
373,98947
182,98591
208,98855
374,98948
43,98649
169,98650
139,98032
139,98168
139,98178
139,98188
296,98271
338,98501
338,98512
209,98856
275,98651
199 Gap,98903
199,98592
254,98466
254,98467
222,91160
183,98593
317,99036
31,98660
31,98661
31,98662
31,98663
31,98664
31,98665
31,98682
31,98683
31,98684
31,98685
31,98686
140,98070
255,98394
318,99037
345,99361
346,99362
376,98951
69,98857
32,98671
50,98858
319,99039
19,98801
West 9,99353
82,98595
170,98672
256,98396
184,98596
210,98862
141,98052
141,98072
141,98077
33,98674
298,98020
34,98675
377,98901
377,98902
377,98903
377,98908
142,98004
339,98597
378,98953
