cars_maker_PK,cars_maker_name
1,ACURA
2,ALFA ROMEO
3,AUDI
4,AZURE DYNAMICS
5,BMW
6,BRIGHTDROP
7,CADILLAC
8,CHEVROLET
9,CHRYSLER
10,DODGE
11,FIAT
12,FISKER
13,FORD
14,GENESIS
15,GMC
16,HONDA
17,HYUNDAI
18,JAGUAR
19,JEEP
20,KIA
21,LAND ROVER
22,LEXUS
23,LINCOLN
24,LUCID
25,MAZDA
26,MERCEDES-BENZ
27,MINI
28,MITSUBISHI
29,MULLEN AUTOMOTIVE INC.
30,NISSAN
31,POLESTAR
32,PORSCHE
33,RIVIAN
34,ROLLS-ROYCE
35,SMART
36,SUBARU
37,TESLA
38,TH!NK
39,TOYOTA
40,VINFAST
41,VOLKSWAGEN
42,VOLVO
43,WHEEGO ELECTRIC CARS
