cars_model_PK,cars_maker_FK,cars_model_name
1,1,ZDX
2,2,TONALE
3,3,A3
4,3,A7 E
5,3,E-TRON
6,3,E-TRON GT
7,3,E-TRON SPORTBACK
8,3,Q4
9,3,Q5
10,3,Q5 E
11,3,Q8
12,3,RS E-TRON GT
13,3,SQ8
14,4,TRANSIT CONNECT ELECTRIC
15,5,330E
16,5,530E
17,5,740E
18,5,745E
19,5,750E
20,5,I3
21,5,I4
22,5,I5
23,5,I7
24,5,I8
25,5,IX
26,5,X3
27,5,X5
28,5,XM
29,6,ZEVO
30,7,CT6
31,7,ELR
32,7,LYRIQ
33,8,BLAZER EV
34,8,BOLT EUV
35,8,BOLT EV
36,8,EQUINOX EV
37,8,SILVERADO EV
38,8,SPARK
39,8,VOLT
40,9,PACIFICA
41,10,HORNET
42,11,500
43,11,500E
44,12,KARMA
45,12,OCEAN
46,13,C-MAX
47,13,ESCAPE
48,13,F-150
49,13,FOCUS
50,13,FUSION
51,13,MUSTANG MACH-E
52,13,RANGER
53,13,TRANSIT
54,14,G80
55,14,GV60
56,14,GV70
57,15,HUMMER EV PICKUP
58,15,HUMMER EV SUV
59,16,ACCORD
60,16,CLARITY
61,16,CR-V
62,16,PROLOGUE
63,17,IONIQ
64,17,IONIQ 5
65,17,IONIQ 5 N
66,17,IONIQ 6
67,17,KONA
68,17,KONA ELECTRIC
69,17,SANTA FE
70,17,SONATA
71,17,TUCSON
72,18,I-PACE
73,19,GRAND CHEROKEE
74,19,WRANGLER
75,20,EV6
76,20,EV9
77,20,NIRO
78,20,OPTIMA
79,20,SORENTO
80,20,SOUL
81,20,SOUL EV
82,20,SPORTAGE
83,21,RANGE ROVER
84,21,RANGE ROVER SPORT
85,22,NX
86,22,RX
87,22,RZ
88,22,TX
89,23,AVIATOR
90,23,CORSAIR
91,24,AIR
92,25,CX-70
93,25,CX-90
94,25,MX-30
95,26,B-CLASS
96,26,C-CLASS
97,26,EQB-CLASS
98,26,EQE-CLASS SEDAN
99,26,EQE-CLASS SUV
100,26,EQS-CLASS SEDAN
101,26,EQS-CLASS SUV
102,26,ESPRINTER
103,26,G-CLASS
104,26,GLC-CLASS
105,26,GLE-CLASS
106,26,S-CLASS
107,27,COUNTRYMAN
108,27,HARDTOP
109,28,I-MIEV
110,28,OUTLANDER
111,29,ONE
112,30,ARIYA
113,30,LEAF
114,31,POLESTAR 3
115,31,PS2
116,32,918
117,32,CAYENNE
118,32,MACAN
119,32,PANAMERA
120,32,TAYCAN
121,33,EDV
122,33,R1S
123,33,R1T
124,34,SPECTRE
125,35,EQ FORTWO
126,35,FORTWO
127,35,FORTWO ELECTRIC DRIVE
128,36,CROSSTREK
129,36,SOLTERRA
130,37,CYBERTRUCK
131,37,MODEL 3
132,37,MODEL S
133,37,MODEL X
134,37,MODEL Y
135,37,ROADSTER
136,38,CITY
137,39,BZ4X
138,39,MIRAI
139,39,PRIUS PLUG-IN
140,39,PRIUS PRIME
141,39,RAV4
142,39,RAV4 PRIME
143,40,VF 8
144,41,E-GOLF
145,41,ID. BUZZ
146,41,ID.4
147,42,C40
148,42,EX40
149,42,EX90
150,42,S60
151,42,S90
152,42,V60
153,42,XC40
154,42,XC60
155,42,XC90
156,43,WHEEGO
